syl1;syl2;syl3;syl4;syl5;prefix
Ma;quo;;;nos;
Ma;ra;;;num;
Mal;ra;;;nus;
Man;ra;;;nus;
Mar;ra;;;o;
Mar;ra;;;o;
Mar;ra;;;o;
Me;ra;;;o;
Me;ra;;;ock;
Me;ra;;;on;
Mem;ra;;;on;
Men;ra;;;on;
Mer;ran;;;on;
Mer;ran;;;or;
Mi;raz;;;pez;
Mo;raz;;;quez;
Mo;re;;;ra;
Mon;re;;;ra;
Mon;re;;;ra;
Mon;re;;;ra;
Mon;re;;;ra;
Mon;re;;;ra;
Mor;re;;;ra;
Mu;re;;;ra;
Mu;ri;;;rad;
Mu;ri;;;ran;
Nar;ri;;;ran;
Ne;ri;;;rat;
Nee;ri;;;rath;
Nes;ri;;;re;
Ni;ri;;;ref;
Nir;ro;;;rei;
No;ro;;;rer;
O;ro;;;rer;
Of;ros;;;res;
Ol;ru;;;rey;
Om;ru;;;rez;
Os;ruz;;;rez;
Pam;ryl;;;rez;
Pe;sa;;;rez;
Pe;sa;;;rez;
Phe;sa;;;rez;
Phe;san;;;rez;
Pi;se;;;rez;
Pi;se;;;ri;
Pi;sel;;;ri;
Pic;sen;;;ri;
Pon;sen;;;ri;
Pon;si;;;ri;
Pre;si;;;ri;
Pros;si;;;rin;
Pu;ta;;;ris;
Que;ta;;;ro;
Quen;ta;;;ro;
Quin;ta;;;ro;
Ra;ta;;;ron;
Ra;tan;;;ros;
Ra;tan;;;rum;
Ra;taz;;;sa;
Ra;te;;;sac;
Ra;te;;;sand;
Rab;te;;;se;
Raf;te;;;sis;
Ran;tel;;;so;
Re;tel;;;sus;
Re;tel;;;ta;
Ri;tha;;;ta;
Ri;the;;;ta;
Ro;thu;;;ta;
Ro;ti;;;tai;
Ron;ti;;;tas;
Ru;to;;;tas;
Ru;to;;;te;
Ruf;to;;;te;
Sa;tra;;;te;
Sa;tro;;;te;
Sa;tu;;;te;
Sa;va;;;ter;
Sa;va;;;ter;
Sa;va;;;ter;
Sa;va;;;tes;
Sa;va;;;tes;
Sal;va;;;tes;
Sal;val;;;tez;
Sal;ve;;;tez;
San;ve;;;tez;
San;ves;;;tha;
San;vi;;;ther;
Sca;vi;;;thos;
Sca;vi;;;ti;
Scar;vi;;;ti;
Scos;vi;;;ti;
Scri;vu;;;ti;
Ser;wal;;;ti;
Si;za;;;til;
Sis;za;;;tin;
So;za;;;tin;
So;za;;;tin;
Spa;zi;;;tis;
Spil;zi;;;to;
Syl;zi;;;tor;
Syl;;;;tos;
Te;;;;toz;
Te;;;;tre;
Te;;;;tum;
Tha;;;;tur;
Tia;;;;um;
To;;;;um;
Tor;;;;us;
Tor;;;;us;
Tra;;;;us;
Trab;;;;vai;
Tre;;;;val;
Tri;;;;van;
U;;;;varn;
Ul;;;;veer;
Va;;;;ven;
Va;;;;vis;
Val;;;;vor;
Van;;;;ya;
Var;;;;ya;
Vas;;;;za;
Ve;;;;za;
Vil;;;;zar;
Wil;;;;zar;
Ya;;;;zar;
Ya;;;;zi;
Za;;;;zi;
Zal;;;;zi;
Zam;;;;zi;
Zer;;;;zo;
Zop;;;;zo;
Zu;;;;zo;
Zul;;;;zo;
Zur;;;;zon;
