syl1;syl2;syl3;syl4;syl5;prefix
Ha;sha;;;id;
Ha;shi;;;id;
Ha;si;;;id;
Ha;si;;;ieb;
Ha;si;;;if;
Ha;si;;;if;
Ha;si;;;ij;
Ha;si;;;ikh;
Ha;si;;;il;
Ha;so;;;im;
Ha;ta;;;im;
Ha;ta;;;im;
Ha;ta;;;in;
Ha;ta;;;in;
Ha;ta;;;in;
Ha;ta;;;ir;
Ha;ta;;;ir;
Ha;ta;;;ir;
Ha;tai;;;jab;
Ha;tas;;;jad;
Ha;te;;;jah;
Ha;ti;;;jar;
Ha;ti;;;jas;
Ha;ti;;;jat;
Ha;to;;;jhi;
Ha;tous;;;ji;
Ha;va;;;ji;
Ha;vak;;;ji;
Ha;ve;;;ji;
Ha;wa;;;ji;
Hab;wa;;;ji;
Had;wa;;;ji;
Had;wa;;;ji;
Haj;wai;;;jim;
Hal;wal;;;ka;
Ham;ya;;;ka;
Ham;ya;;;kad;
Ham;ya;;;kal;
Ham;ya;;;kat;
Ham;you;;;kat;
Han;za;;;kat;
Han;za;;;ked;
Han;za;;;kho;
Haq;za;;;ki;
Har;za;;;ki;
Has;za;;;ki;
Has;za;;;ki;
Has;zai;;;ki;
Haw;ze;;;ki;
Haz;zi;;;ki;
He;zi;;;ki;
He;zou;;;kif;
Hi;zou;;;kin;
Hi;zu;;;kir;
Hi;;;;kir;
Hik;;;;koz;
Hil;;;;kri;
Him;;;;kub;
Hin;;;;la;
Ho;;;;la;
Ho;;;;laf;
Hou;;;;lah;
Hu;;;;lah;
Hus;;;;lah;
I;;;;lah;
I;;;;lah;
I;;;;lah;
I;;;;lah;
Iq;;;;lai;
Ir;;;;lal;
Is;;;;lal;
Is;;;;lal;
Is;;;;lal;
Ja;;;;lam;
Ja;;;;lam;
Ja;;;;lam;
Ja;;;;lam;
Ja;;;;laq;
Ja;;;;las;
Ja;;;;leb;
Ja;;;;led;
Ja;;;;lef;
Ja;;;;leh;
Ja;;;;leh;
Ja;;;;leh;
Ja;;;;lek;
Ja;;;;lem;
Ja;;;;li;
Ja;;;;li;
Ja;;;;li;
Jar;;;;li;
Jar;;;;li;
Je;;;;li;
Jo;;;;li;
Ju;;;;li;
Jur;;;;li;
Ka;;;;li;
Ka;;;;li;
Ka;;;;li;
Ka;;;;li;
Ka;;;;li;
Ka;;;;li;
Ka;;;;li;
Ka;;;;li;
Ka;;;;li;
Ka;;;;lid;
Ka;;;;lim;
Kab;;;;los;
Kad;;;;ly;
Kad;;;;ma;
Kah;;;;ma;
Kan;;;;mad;
Kar;;;;mad;
Kar;;;;mad;
Kas;;;;mad;
Kas;;;;mam;
Kay;;;;man;
Kaz;;;;man;
Kha;;;;man;
Kha;;;;man;
Kha;;;;man;
Kha;;;;mar;
Kha;;;;mar;
Kha;;;;mar;
Kha;;;;mar;
Kha;;;;mas;
Kha;;;;mas;
Kha;;;;mat;
Khat;;;;mat;
Khe;;;;me;
Kho;;;;me;
Khou;;;;meel;
Khou;;;;mel;
Kin;;;;mer;
Kir;;;;mi;
Kou;;;;mi;
La;;;;mi;
La;;;;mi;
La;;;;mi;
La;;;;mi;
La;;;;mi;
La;;;;mi;
La;;;;mi;
La;;;;mi;
La;;;;mi;
Lagh;;;;mi;
Lah;;;;mi;
Lal;;;;mi;
Lel;;;;mich;
Li;;;;mid;
Ma;;;;mil;
Ma;;;;mim;
Ma;;;;mir;
Ma;;;;mis;
Ma;;;;mud;
Ma;;;;my;
Ma;;;;my;
Ma;;;;na;
Ma;;;;na;
Ma;;;;na;
Ma;;;;nab;
Ma;;;;nab;
Ma;;;;naf;
Ma;;;;nah;
Maa;;;;naij;
Maa;;;;nan;
Maa;;;;nar;
Magh;;;;ne;
Mah;;;;ne;
Mah;;;;ne;
Mah;;;;ne;
Mah;;;;ne;
Mah;;;;ne;
Maj;;;;ne;
Mak;;;;nem;
Mal;;;;nem;
Man;;;;ni;
Man;;;;ni;
Man;;;;ni;
Maq;;;;ni;
Mar;;;;ni;
Mar;;;;ni;
Mar;;;;ni;
Mar;;;;ni;
Mar;;;;ni;
Mar;;;;ni;
Mas;;;;ni;
Mas;;;;ni;
Math;;;;ni;
Me;;;;ni;
Me;;;;ni;
Me;;;;ni;
Mef;;;;ni;
Mel;;;;ni;
Mem;;;;ni;
Mi;;;;ni;
Mif;;;;ni;
Mo;;;;ni;
Mo;;;;ni;
Mo;;;;ni;
Mo;;;;ni;
Mous;;;;ni;
Mous;;;;ni;
Mu;;;;ni;
Mu;;;;ni;
Mu;;;;ni;
Mu;;;;nir;
Mu;;;;olh;
Mu;;;;or;
Mu;;;;ou;
Mu;;;;ouf;
Mugh;;;;oui;
Muh;;;;qa;
Muj;;;;qar;
Mukh;;;;qi;
Murr;;;;qi;
Mus;;;;qi;
Na;;;;qi;
Na;;;;qi;
Na;;;;que;
Na;;;;qui;
Na;;;;ra;
Na;;;;ra;
Na;;;;ra;
Na;;;;ra;
Na;;;;ra;
Na;;;;rab;
Na;;;;rad;
Na;;;;rad;
Na;;;;rah;
Na;;;;rai;
Na;;;;rak;
Na;;;;ram;
Na;;;;ran;
Na;;;;raq;
Na;;;;rar;
Na;;;;rar;
Na;;;;rash;
Na;;;;raz;
Na;;;;rei;
Na;;;;rek;
Na;;;;res;
Na;;;;ri;
Na;;;;ri;
Na;;;;ri;
Na;;;;ri;
Na;;;;ri;
Nab;;;;ri;
Nad;;;;ri;
Nad;;;;ri;
Nad;;;;ri;
Naf;;;;ri;
Nah;;;;ri;
Nah;;;;ri;
Nah;;;;ri;
Naj;;;;ri;
Naj;;;;ri;
Nam;;;;ri;
Naq;;;;ri;
Nas;;;;ri;
Nas;;;;ri;
Nas;;;;ri;
Nas;;;;ri;
Nas;;;;ri;
Nas;;;;ri;
Naw;;;;ri;
Naz;;;;ri;
Neh;;;;ri;
Nes;;;;ri;
Nim;;;;ri;
No;;;;ri;
Noo;;;;ri;
Nou;;;;ri;
Nu;;;;ri;
Nur;;;;ri;
O;;;;ri;
O;;;;ri;
O;;;;rib;
Os;;;;rid;
Pa;;;;riq;
Qa;;;;riq;
Qa;;;;rooq;
Qa;;;;ry;
Qah;;;;ry;
Qai;;;;sa;
Qay;;;;sa;
Qu;;;;sa;
Qu;;;;sab;
Qud;;;;sad;
Ra;;;;san;
Ra;;;;san;
Ra;;;;san;
Ra;;;;san;
Ra;;;;sar;
Ra;;;;sar;
Ra;;;;sar;
Ra;;;;sas;
Ra;;;;sem;
Ra;;;;sem;
Ra;;;;ser;
Ra;;;;ser;
Rah;;;;ser;
Rah;;;;ser;
Rah;;;;sha;
Ram;;;;shak;
Ram;;;;shar;
Ram;;;;shem;
Ras;;;;shi;
Rez;;;;shi;
Ri;;;;shi;
Ri;;;;shi;
Ri;;;;shi;
Riz;;;;shid;
Rou;;;;shif;
Rush;;;;shir;
Sa;;;;shour;
Sa;;;;shour;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;si;
Sa;;;;sif;
Sa;;;;sih;
Sab;;;;sim;
Saf;;;;sim;
Sah;;;;sin;
Sai;;;;sin;
Saj;;;;sin;
Sak;;;;so;
Sal;;;;so;
Sal;;;;soud;
Say;;;;soud;
Say;;;;sud;
Say;;;;suf;
Seh;;;;sul;
Sfe;;;;ta;
Sha;;;;tab;
Sha;;;;taf;
Sha;;;;tah;
Sha;;;;tah;
Sha;;;;tan;
Sha;;;;tan;
Sha;;;;tar;
Sha;;;;tar;
Sha;;;;tas;
Sha;;;;tayf;
Sha;;;;teb;
Sha;;;;tem;
Shaa;;;;thi;
Shah;;;;thi;
Shal;;;;thil;
Sham;;;;ti;
Shaq;;;;ti;
Shar;;;;ti;
Shaw;;;;ti;
Shaw;;;;ti;
She;;;;ti;
Sheh;;;;ti;
Shen;;;;ti;
Shi;;;;tib;
Shi;;;;tib;
Shri;;;;tif;
Shu;;;;tif;
Shu;;;;tim;
Shu;;;;tiq;
Shy;;;;ub;
Si;;;;ub;
Si;;;;ub;
Sid;;;;uf;
Sis;;;;uf;
Slim;;;;uk;
So;;;;uk;
Solh;;;;um;
Sou;;;;un;
Sou;;;;un;
Sou;;;;un;
Su;;;;un;
Sul;;;;ur;
Ta;;;;urk;
Ta;;;;urr;
Ta;;;;us;
Ta;;;;ust;
Ta;;;;vi;
Ta;;;;vi;
Ta;;;;vi;
Ta;;;;vi;
Ta;;;;wad;
Ta;;;;wal;
Ta;;;;wan;
Ta;;;;wan;
Ta;;;;wan;
Ta;;;;wan;
Tab;;;;war;
Tak;;;;wass;
Tal;;;;wat;
Tam;;;;waz;
Tan;;;;wi;
Tar;;;;wi;
Tas;;;;wi;
Taw;;;;wi;
Tay;;;;wi;
Thar;;;;wi;
Ti;;;;wi;
Tif;;;;wi;
Tim;;;;wi;
Tir;;;;wi;
Toh;;;;wi;
Tra;;;;wi;
Tu;;;;wi;
Tu;;;;wi;
Tur;;;;wi;
Turk;;;;wi;
Twal;;;;wi;
U;;;;wi;
Uth;;;;wish;
Wa;;;;woud;
Wa;;;;wy;
Wa;;;;ya;
Wa;;;;ya;
Wa;;;;ya;
Wah;;;;yad;
Waj;;;;yad;
War;;;;yah;
War;;;;yali;
War;;;;yan;
Ya;;;;yar;
Ya;;;;yat;
Ya;;;;yeb;
Ya;;;;yeb;
Ya;;;;yed;
Ya;;;;yed;
Ya;;;;yegh;
Ya;;;;yek;
Ya;;;;yek;
Ya;;;;yel;
Ya;;;;yid;
Yah;;;;yin;
Yai;;;;yin;
Yam;;;;yum;
Yas;;;;za;
Yas;;;;zaar;
Yas;;;;zah;
Yu;;;;zam;
Za;;;;zam;
Za;;;;zan;
Za;;;;zan;
Za;;;;zem;
Za;;;;zhar;
Za;;;;zi;
Za;;;;zi;
Za;;;;zi;
Za;;;;zi;
Za;;;;zi;
Za;;;;zi;
Za;;;;zi;
Zah;;;;zi;
Zah;;;;zi;
Zah;;;;zi;
Zai;;;;zi;
Zay;;;;zi;
Zei;;;;zif;
Zi;;;;zih;
Zi;;;;zil;
Zi;;;;zim;
Zogh;;;;zim;
Zou;;;;zir;
Zu;;;;ziz;
Zu;;;;zur;
