singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Schriftrollenbehälter;Schriftrollenbehälter;;;;maskulinum;starkeDeklination;S6;Universal;Schriftrollenbehälter
Seidenseil;Seidenseile;;;;neutrum;starkeDeklination;S4;Universal;Seidenseile
Seife;Seifen;;;;femininum;schwacheDeklination;W2;Universal;Seifen
Siegelring;Siegelringe;;;;maskulinum;starkeDeklination;S4;Universal;Siegelringe
Siegelwachs;Siegelwachse;;;;neutrum;starkeDeklination;S4;Universal;Siegelwachse
Signalpfeife;Signalpfeifen;;;;femininum;schwacheDeklination;W2;Universal;Signalpfeifen
Spitzhacke;Spitzhacken;;;;femininum;schwacheDeklination;W2;Universal;Spitzhacken
Stab;Stäbe;;;;maskulinum;starkeDeklination;S1;Universal;Stäbe
Stahlspiegel;Stahlspiegel;;;;maskulinum;starkeDeklination;S6;Universal;Stahlspiegel
Tagesration;Tagesrationen;;;;femininum;schwacheDeklination;W2;Universal;Tagesrationen
Tasche;Taschen;;;;femininum;schwacheDeklination;W2;Universal;Taschen
Tonhumpen;Tonhumpen;;;;maskulinum;starkeDeklination;S6;Universal;Tonhumpen
Tonkrug;Tonkrüge;;;;maskulinum;starkeDeklination;S1;Universal;Tonkrüge
Totem;Totems;;;;neutrum;fremdWort;fremdWort;Universal;Totems
Rammbock;Rammböcke;tragbare;;;maskulinum;starkeDeklination;S1;Universal;Tragbare Rammböcke
Trinkschlauch;Trinkschläuche;;;;maskulinum;starkeDeklination;S1;Universal;Trinkschläuche
Vergrößerungsglas;Vergrößerungsgläser;;;;neutrum;starkeDeklination;S2;Universal;Vergrößerungsgläser
Vorschlaghammer;Vorschlaghämmer;;;;maskulinum;starkeDeklination;S2;Universal;Vorschlaghämmer
Weihwasser;Weihwässer;;;;neutrum;starkeDeklination;S2;Universal;Weihwässer
Wetzstein;Wetzsteine;;;;maskulinum;starkeDeklination;S4;Universal;Wetzsteine
Zauberbuch;Zauberbücher;;;;neutrum;starkeDeklination;S2;Universal;Zauberbücher
Zauberstab;Zauberstäbe;;;;maskulinum;starkeDeklination;S1;Universal;Zauberstäbe
Zelt;Zelte;;;;neutrum;starkeDeklination;S4;Universal;Zelte
Zunderkästchen;Zunderkästchen;;;;neutrum;starkeDeklination;S6;Universal;Zunderkästchen
