singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Kräuterkundler;Kräuterkundler;;;;maskulinum;starkeDeklination;S6;Universal;Kräuterkundler
Krieger;Krieger;;;;maskulinum;starkeDeklination;S6;Universal;Krieger
Hebamme;Hebammen;;;;femininum;schwacheDeklination;W2;Universal;Hebammen
Heiler;Heiler;;;;maskulinum;starkeDeklination;S6;Universal;Heiler
Künstler;Künstler;;;;maskulinum;starkeDeklination;S6;Universal;Künstler
Kürschner;Kürschner;;;;maskulinum;starkeDeklination;S6;Universal;Kürschner
Kutscher;Kutscher;;;;maskulinum;starkeDeklination;S6;Universal;Kutscher
Laternenanzünder;Laternenanzünder;;;;maskulinum;starkeDeklination;S6;Universal;Laternenanzünder
Lederarbeiter;Lederarbeiter;;;;maskulinum;starkeDeklination;S6;Universal;Lederarbeiter
Inquisitor;Inquisitoren;;;;maskulinum;gemischteDeklination;W3;Universal;Inquisitoren
Lehrer;Lehrer;;;;maskulinum;starkeDeklination;S6;Universal;Lehrer
Magier;Magier;;;;maskulinum;starkeDeklination;S6;Universal;Magier
Metzger;Metzger;;;;maskulinum;starkeDeklination;S6;Universal;Metzger
Orakel;Orakel;;;;neutrum;starkeDeklination;S6;Universal;Orakel
Kartograph;Kartographen;;;;maskulinum;schwacheDeklination;W1;Universal;Kartographen
Priester;Priester;;;;maskulinum;starkeDeklination;S6;Universal;Priester
Sattler;Sattler;;;;maskulinum;starkeDeklination;S6;Universal;Sattler
Schäfer;Schäfer;;;;maskulinum;starkeDeklination;S6;Universal;Schäfer
Schauspieler;Schauspieler;;;;maskulinum;starkeDeklination;S6;Universal;Schauspieler
Schmuggler;Schmuggler;;;;maskulinum;starkeDeklination;S6;Universal;Schmuggler
Schneider;Schneider;;;;maskulinum;starkeDeklination;S6;Universal;Schneider
Schreiber;Schreiber;;;;maskulinum;starkeDeklination;S6;Universal;Schreiber
Schreiner;Schreiner;;;;maskulinum;starkeDeklination;S6;Universal;Schreiner
Seher;Seher;;;;maskulinum;starkeDeklination;S6;Universal;Seher
Töpferer;Töpferer;;;;maskulinum;starkeDeklination;S6;Universal;Töpferer
Torwächter;Torwächter;;;;maskulinum;starkeDeklination;S6;Universal;Torwächter
Totengräber;Totengräber;;;;maskulinum;starkeDeklination;S6;Universal;Totengräber
Unterhaltungskünstler;Unterhaltungskünstler;;;;maskulinum;starkeDeklination;S6;Universal;Unterhaltungskünstler
Wächter;Wächter;;;;maskulinum;starkeDeklination;S6;Universal;Wächter
Wagenbauer;Wagenbauer;;;;maskulinum;starkeDeklination;S6;Universal;Wagenbauer
Waldläufer;Waldläufer;;;;maskulinum;starkeDeklination;S6;Universal;Waldläufer
Weber;Weber;;;;maskulinum;starkeDeklination;S6;Universal;Weber
Wissenshüter;Wissenshüter;;;;maskulinum;starkeDeklination;S6;Universal;Wissenshüter
Zauberer;Zauberer;;;;maskulinum;starkeDeklination;S6;Universal;Zauberer
Bankier;Bankiers;;;;maskulinum;fremdWort;fremdWort;Universal;Bankiers
Barbier;Barbiere;;;;maskulinum;starkeDeklination;S4;Universal;Barbiere
Bischof;Bischöfe;;;;maskulinum;starkeDeklination;S1;Universal;Bischöfe
Forstwirt;Forstwirte;;;;maskulinum;starkeDeklination;S1;Universal;Forstwirte
General;Generäle;;;;maskulinum;starkeDeklination;S4;Universal;Generäle
Goldschmied;Goldschmiede;;;;maskulinum;starkeDeklination;S4;Universal;Goldschmiede
Graveur;Graveure;;;;maskulinum;starkeDeklination;S4;Universal;Graveure
Herold;Herolde;;;;maskulinum;starkeDeklination;S4;Universal;Herolde
Hufschmied;Hufschmiede;;;;maskulinum;starkeDeklination;S4;Universal;Hufschmiede
Hundedresseur;Hundedresseure;;;;maskulinum;starkeDeklination;S4;Universal;Hundedresseure
Ingenieur;Ingenieure;;;;maskulinum;starkeDeklination;S4;Universal;Ingenieure
Schurke;Schurken;;;;maskulinum;schwacheDeklination;W1;Universal;Schurken
Juwelier;Juweliere;;;;maskulinum;starkeDeklination;S4;Universal;Juweliere
Kapitän;Kapitäne;;;;maskulinum;starkeDeklination;S1;Universal;Kapitäne
Knecht;Knechte;;;;maskulinum;starkeDeklination;S4;Universal;Knechte
Koch;Köche;;;;maskulinum;starkeDeklination;S4;Universal;Köche
Soldat;Soldaten;;;;maskulinum;schwacheDeklination;W1;Universal;Soldaten
Kurier;Kuriere;;;;maskulinum;starkeDeklination;S4;Universal;Kuriere
Theaterautor;Theaterautoren;;;;maskulinum;gemischteDeklination;W3;Universal;Theaterautoren
Mönch;Mönche;;;;maskulinum;starkeDeklination;S4;Universal;Mönche
Kaufmann;Kaufmänner;;;;maskulinum;starkeDeklination;S2;Universal;Kaufmänner
Rechtsanwalt;Rechtsanwälte;;;;maskulinum;starkeDeklination;S1;Universal;Rechtsanwälte
Runenschmied;Runenschmiede;;;;maskulinum;starkeDeklination;S4;Universal;Runenschmiede
Rüstungsschmied;Rüstungsschmiede;;;;maskulinum;starkeDeklination;S4;Universal;Rüstungsschmiede
Schmied;Schmiede;;;;maskulinum;starkeDeklination;S4;Universal;Schmiede
Seemann;Seemänner;;;;maskulinum;starkeDeklination;S2;Universal;Seemänner
Sekretär;Sekretäre;;;;maskulinum;starkeDeklination;S4;Universal;Sekretäre
Silberschmied;Silberschmiede;;;;maskulinum;starkeDeklination;S4;Universal;Silberschmiede
Steinmetz;Steinmetze;;;;maskulinum;starkeDeklination;S4;Universal;Steinmetze
Tierdresseur;Tierdresseure;;;;maskulinum;starkeDeklination;S4;Universal;Tierdresseure
Weise;Weise;;;;maskulinum;starkeDeklination;S4;Universal;Weise
Wachmann;Wachmänner;;;;maskulinum;starkeDeklination;S2;Universal;Wachmänner
Waffenschmied;Waffenschmiede;;;;maskulinum;starkeDeklination;S4;Universal;Waffenschmiede
Wirt;Wirte;;;;maskulinum;starkeDeklination;S4;Universal;Wirte
Zimmermann;Zimmermänner;;;;maskulinum;starkeDeklination;S2;Universal;Zimmermänner
