singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Leonide;Leoniden;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Leoniden
Locathah;Locathah;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Locathah
Lotusden-Halbling;Lotusden-Halblinge;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Halblinge,Lotusden-Halblinge
Loxodon;Loxodon;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Loxodon
Luft-Genasi;Luft-Genasi;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Genasi,Luft-Genasi
Lykanthrop;Lykanthropen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Gestaltwandler,Lykanthropen
Mazer;Mazer;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Mazer
Meereself;Meereselfen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Elfen,Meereselfen
Meervolk;Meervölker;;;;neutrum;starkeDeklination;S2;Universal;Humanoide,Meervölker
Mensch;Menschen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Menschen
Minotaur;Minotauren;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Minotauren
Mischlingsvolk;Mischlingsvölker;;;;neutrum;starkeDeklination;S2;Universal;Humanoide,Mischlingsvölker
Nagpa;Nagpas;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Nagpa
Nilbog;Nilbogs;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Nilbogs
Ork;Orks;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Orks
Orog;Orogs;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Orog
Plasmoide;Plasmoiden;;;;maskulinum;schwacheDeklination;W1;Universal;Schlicke,Plasmoiden
Quaggoth;Quaggoths;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Quaggoth
Ravenit-Drachenblütige;Ravenit-Drachenblütige;;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Humanoide,Drachenblütige,Ravenit-Drachenblütige
Sahuagin;Sahuagin;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Sahuagin
Satyr;Satyren;;;;maskulinum;schwacheDeklination;W1;Universal;Feenwesen,Satyren
Saurianer;Saurianer;;;;maskulinum;starkeDeklination;S6;Universal;Humanoide,Saurianer
Shadar-Kai;Shadar-Kai;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Elfen,Shadar-Kai
Simic-Hybride;Simic-Hybriden;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Simic-Hybriden
Tabaxi;Tabaxi;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Tabaxi
Thri-Kreen;Thri-Kreen;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Thri-Kreen
Tiefengnom;Tiefengnome;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Gnome,Tiefengnome
Tiefling;Tieflinge;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Tieflinge
Tierhaut-Wandler;Tierhaut-Wandler;;;;maskulinum;starkeDeklination;S6;Universal;Humanoide,Gestaltwandler,Wandler,Tierhaut-Wandler
Tortel;Tortel;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Tortel
Triton;Tritonen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Triton
Troglodyt;Troglodyten;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Troglodyten
Uhle;Uhlen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Uhlen
Vedalken;Vedalken;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Vedalken
Verdan;Verdan;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Goblinoide,Verdan
Waldelf;Waldelfen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Elfen,Waldelfen
Waldgnom;Waldgnome;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Gnome,Waldgnome
Wasser-Genasi;Wasser-Genasi;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Genasi,Wasser-Genasi
Wechselbalg;Wechselbälger;;;;maskulinum;starkeDeklination;S2;Universal;Humanoide,Gestaltwandler,Wechselbälger
Wiedergeborene;Wiedergeborene;;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Humanoide,Wiedergeborene
Wildläufer-Wandler;Wildläufer-Wandler;;;;maskulinum;starkeDeklination;S6;Universal;Humanoide,Gestaltwandler,Wandler,Wildläufer-Wandler
Yuan-Ti;Yuan-Ti;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Yuan-Ti
Zentaur;Zentauren;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Zentauren
